Duration of marriage 11,2016,2017,2018,2019,2020
Under 1 year,0.3,0.2,0.2,0.2,0.2
1 year,2.9,2.8,3.4,2.8,1.9
2 years,10.4,10.6,11.4,10.5,8.2
3 years,15.1,16.3,16.6,16.2,13.6
4 years,19.6,19.7,19.5,18.7,14.5
5 years,22.4,20.8,21.2,19.4,14.5
6 years,21.6,21.1,21.6,19,14.7
7 years,20.1,20,19.9,18.7,13.3
8 years,20.1,19.2,18.5,17.4,13.4
9 years,18.4,18.4,17.7,16.4,13
10 years,16.9,17.6,17.3,15.8,12.1
11 years,16.1,17.1,16.2,15.2,11.6
12 years,15.3,15.6,15.3,14.1,11.3
13 years,14.2,14.7,13.8,13.3,10.5
14 years,14,13.4,13.1,12.6,9.2
15 years,13,13.1,12.2,12.5,8.6
16 years,12.1,12.1,12.4,11.3,8
17 years,11.8,12,11.4,11.3,7.6
18 years,11.2,11.2,11.3,10.2,7.6
19 years,11.1,10.6,10.5,9.8,7.4
20 years,10.1,10.6,10.4,9.3,7.1
21 years,9.9,9.5,9.2,8.9,6.7
22 years,9.3,9.2,9.1,8.5,6.2
23 years,8.5,8.8,8.6,7.8,6.4
24 years,8,8.2,8,7.7,5.6
25 years,7.3,7.3,7,6.8,5.3
26 years,7,6.9,7.1,6.3,4.6
27 years,6,6.2,6.4,5.2,4.2
28 years,5.8,5.6,5.8,5.4,3.9
29 years,5.2,5.1,5.1,4.6,3.5
30 years,4.7,4.5,4.1,4.2,3.2
31 years,4.1,4.4,4,3.7,2.7
32 years,3.5,3.6,3.8,3.1,2.5
33 years,3.2,3.1,3.3,2.9,2.3
34 years,2.6,3,3,2.8,1.9
35 years,2.7,2.5,2.5,2.6,1.6
36 years,2.3,2.2,2.3,2.1,1.5
37 years,1.8,1.8,1.8,1.9,1.4
38 years,1.6,1.8,1.9,1.5,1.1
39 years,1.5,1.6,1.5,1.4,1
40 years,1.2,1.3,1.1,1.2,1
41 years,1.2,1.2,1.1,1,0.8
42 years,1,1,1.1,0.9,0.8
43 years,0.8,0.9,0.9,0.8,0.7
44 years,0.8,0.8,0.8,0.8,0.5
45 years,0.7,0.6,0.7,0.7,0.5
46 years,0.5,0.6,0.6,0.5,0.4
47 years,0.5,0.5,0.5,0.5,0.3
48 years,0.5,0.4,0.6,0.4,0.4
49 years,0.4,0.3,0.3,0.4,0.3
50 years,0.3,0.3,0.4,0.2,0.3
