AgeGroup,Divorced,YearsTogether,Divorced,Province,Divorced
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,1.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,1.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,1.0
All ages,0.0,Under 1 year,0,N.L.,1.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,1.0
All ages,0.0,Under 1 year,0,N.L.,1.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,1.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,1.0,Under 1 year,0,N.L.,1.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,1.0
All ages,0.0,Under 1 year,0,N.L.,1.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,1.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,1.0
All ages,0.0,Under 1 year,0,N.L.,1.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,1.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,1.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,1.0
All ages,0.0,Under 1 year,0,N.L.,1.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,1.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,1.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,1.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,1.0
All ages,1.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,1.0
All ages,0.0,Under 1 year,0,N.L.,0.0
All ages,0.0,Under 1 year,0,N.L.,0.0
