AgeGroup,YearsTogether,Province,Divorced
Under 20 years,Under 1 year,N.L.,0
Under 20 years,Under 1 year,N.L.,0
Under 20 years,Under 1 year,N.L.,0
Under 20 years,Under 1 year,N.L.,0
Under 20 years,Under 1 year,N.L.,0
Under 20 years,Under 1 year,N.L.,0
Under 20 years,Under 1 year,N.L.,0
Under 20 years,Under 1 year,N.L.,0
Under 20 years,Under 1 year,N.L.,0
Under 20 years,Under 1 year,N.L.,0
Under 20 years,Under 1 year,P.E.I.,0
Under 20 years,Under 1 year,P.E.I.,0
Under 20 years,Under 1 year,P.E.I.,0
Under 20 years,Under 1 year,P.E.I.,0
Under 20 years,Under 1 year,P.E.I.,1
Under 20 years,Under 1 year,P.E.I.,0
Under 20 years,Under 1 year,P.E.I.,0
Under 20 years,Under 1 year,P.E.I.,0
Under 20 years,Under 1 year,P.E.I.,0
Under 20 years,Under 1 year,P.E.I.,0
Under 20 years,Under 1 year,N.S.,1
Under 20 years,Under 1 year,N.S.,0
Under 20 years,Under 1 year,N.S.,0
Under 20 years,Under 1 year,N.S.,0
Under 20 years,Under 1 year,N.S.,0
Under 20 years,Under 1 year,N.S.,0
Under 20 years,Under 1 year,N.S.,0
Under 20 years,Under 1 year,N.S.,0
Under 20 years,Under 1 year,N.S.,0
Under 20 years,Under 1 year,N.S.,1
Under 20 years,Under 1 year,N.B.,0
Under 20 years,Under 1 year,N.B.,0
Under 20 years,Under 1 year,N.B.,0
Under 20 years,Under 1 year,N.B.,1
Under 20 years,Under 1 year,N.B.,0
Under 20 years,Under 1 year,N.B.,0
Under 20 years,Under 1 year,N.B.,0
Under 20 years,Under 1 year,N.B.,0
Under 20 years,Under 1 year,N.B.,0
Under 20 years,Under 1 year,N.B.,0
Under 20 years,Under 1 year,Que.,0
Under 20 years,Under 1 year,Que.,0
Under 20 years,Under 1 year,Que.,0
Under 20 years,Under 1 year,Que.,0
Under 20 years,Under 1 year,Que.,1
Under 20 years,Under 1 year,Que.,0
Under 20 years,Under 1 year,Que.,0
Under 20 years,Under 1 year,Que.,1
Under 20 years,Under 1 year,Que.,0
Under 20 years,Under 1 year,Que.,0
Under 20 years,Under 1 year,Ont.,0
Under 20 years,Under 1 year,Ont.,0
Under 20 years,Under 1 year,Ont.,0
Under 20 years,Under 1 year,Ont.,0
Under 20 years,Under 1 year,Ont.,0
Under 20 years,Under 1 year,Ont.,0
Under 20 years,Under 1 year,Ont.,0
Under 20 years,Under 1 year,Ont.,0
Under 20 years,Under 1 year,Ont.,0
Under 20 years,Under 1 year,Ont.,0
Under 20 years,Under 1 year,Man.,0
Under 20 years,Under 1 year,Man.,0
Under 20 years,Under 1 year,Man.,0
Under 20 years,Under 1 year,Man.,0
Under 20 years,Under 1 year,Man.,0
Under 20 years,Under 1 year,Man.,0
Under 20 years,Under 1 year,Man.,0
Under 20 years,Under 1 year,Man.,0
Under 20 years,Under 1 year,Man.,0
Under 20 years,Under 1 year,Man.,0
Under 20 years,Under 1 year,Sask.,0
Under 20 years,Under 1 year,Sask.,0
Under 20 years,Under 1 year,Sask.,0
Under 20 years,Under 1 year,Sask.,0
Under 20 years,Under 1 year,Sask.,1
Under 20 years,Under 1 year,Sask.,0
Under 20 years,Under 1 year,Sask.,0
Under 20 years,Under 1 year,Sask.,1
Under 20 years,Under 1 year,Sask.,0
Under 20 years,Under 1 year,Sask.,0
Under 20 years,Under 1 year,Alta.,0
Under 20 years,Under 1 year,Alta.,0
Under 20 years,Under 1 year,Alta.,1
Under 20 years,Under 1 year,Alta.,0
Under 20 years,Under 1 year,Alta.,0
Under 20 years,Under 1 year,Alta.,0
Under 20 years,Under 1 year,Alta.,0
Under 20 years,Under 1 year,Alta.,0
Under 20 years,Under 1 year,Alta.,1
Under 20 years,Under 1 year,Alta.,0
Under 20 years,Under 1 year,B.C.,0
Under 20 years,Under 1 year,B.C.,0
Under 20 years,Under 1 year,B.C.,0
Under 20 years,Under 1 year,B.C.,0
Under 20 years,Under 1 year,B.C.,0
Under 20 years,Under 1 year,B.C.,1
Under 20 years,Under 1 year,B.C.,0
Under 20 years,Under 1 year,B.C.,0
Under 20 years,Under 1 year,B.C.,0
Under 20 years,Under 1 year,B.C.,0
Under 20 years,Under 1 year,Y.T.,0
Under 20 years,Under 1 year,Y.T.,0
Under 20 years,Under 1 year,Y.T.,0
Under 20 years,Under 1 year,Y.T.,0
Under 20 years,Under 1 year,Y.T.,0
Under 20 years,Under 1 year,Y.T.,0
Under 20 years,Under 1 year,Y.T.,0
Under 20 years,Under 1 year,Y.T.,0
Under 20 years,Under 1 year,Y.T.,1
Under 20 years,Under 1 year,Y.T.,0
Under 20 years,Under 1 year,N.W.T.,0
Under 20 years,Under 1 year,N.W.T.,0
Under 20 years,Under 1 year,N.W.T.,0
Under 20 years,Under 1 year,N.W.T.,0
Under 20 years,Under 1 year,N.W.T.,0
Under 20 years,Under 1 year,N.W.T.,0
Under 20 years,Under 1 year,N.W.T.,0
Under 20 years,Under 1 year,N.W.T.,1
Under 20 years,Under 1 year,N.W.T.,0
Under 20 years,Under 1 year,N.W.T.,0
Under 20 years,1 year,N.L.,0
Under 20 years,1 year,N.L.,0
Under 20 years,1 year,N.L.,0
Under 20 years,1 year,N.L.,0
Under 20 years,1 year,N.L.,0
Under 20 years,1 year,N.L.,0
Under 20 years,1 year,N.L.,0
Under 20 years,1 year,N.L.,0
Under 20 years,1 year,N.L.,0
Under 20 years,1 year,N.L.,0
Under 20 years,1 year,P.E.I.,0
Under 20 years,1 year,P.E.I.,0
Under 20 years,1 year,P.E.I.,0
Under 20 years,1 year,P.E.I.,0
Under 20 years,1 year,P.E.I.,1
Under 20 years,1 year,P.E.I.,0
Under 20 years,1 year,P.E.I.,0
Under 20 years,1 year,P.E.I.,0
Under 20 years,1 year,P.E.I.,0
Under 20 years,1 year,P.E.I.,1
Under 20 years,1 year,N.S.,0
Under 20 years,1 year,N.S.,0
Under 20 years,1 year,N.S.,0
Under 20 years,1 year,N.S.,0
Under 20 years,1 year,N.S.,1
Under 20 years,1 year,N.S.,1
Under 20 years,1 year,N.S.,0
Under 20 years,1 year,N.S.,0
Under 20 years,1 year,N.S.,0
Under 20 years,1 year,N.S.,0
Under 20 years,1 year,N.B.,0
Under 20 years,1 year,N.B.,0
Under 20 years,1 year,N.B.,0
Under 20 years,1 year,N.B.,1
Under 20 years,1 year,N.B.,0
Under 20 years,1 year,N.B.,0
Under 20 years,1 year,N.B.,1
Under 20 years,1 year,N.B.,0
Under 20 years,1 year,N.B.,0
Under 20 years,1 year,N.B.,0
Under 20 years,1 year,Que.,1
Under 20 years,1 year,Que.,0
Under 20 years,1 year,Que.,0
Under 20 years,1 year,Que.,0
Under 20 years,1 year,Que.,0
Under 20 years,1 year,Que.,0
Under 20 years,1 year,Que.,0
Under 20 years,1 year,Que.,0
Under 20 years,1 year,Que.,1
Under 20 years,1 year,Que.,0
Under 20 years,1 year,Ont.,0
Under 20 years,1 year,Ont.,0
Under 20 years,1 year,Ont.,0
Under 20 years,1 year,Ont.,0
Under 20 years,1 year,Ont.,0
Under 20 years,1 year,Ont.,0
Under 20 years,1 year,Ont.,0
Under 20 years,1 year,Ont.,0
Under 20 years,1 year,Ont.,0
Under 20 years,1 year,Ont.,0
Under 20 years,1 year,Man.,0
Under 20 years,1 year,Man.,0
Under 20 years,1 year,Man.,0
Under 20 years,1 year,Man.,0
Under 20 years,1 year,Man.,0
Under 20 years,1 year,Man.,0
Under 20 years,1 year,Man.,0
Under 20 years,1 year,Man.,0
Under 20 years,1 year,Man.,0
Under 20 years,1 year,Man.,0
Under 20 years,1 year,Sask.,0
Under 20 years,1 year,Sask.,0
Under 20 years,1 year,Sask.,0
Under 20 years,1 year,Sask.,0
Under 20 years,1 year,Sask.,0
Under 20 years,1 year,Sask.,0
Under 20 years,1 year,Sask.,0
Under 20 years,1 year,Sask.,0
Under 20 years,1 year,Sask.,0
Under 20 years,1 year,Sask.,0
Under 20 years,1 year,Alta.,0
Under 20 years,1 year,Alta.,0
Under 20 years,1 year,Alta.,1
Under 20 years,1 year,Alta.,0
Under 20 years,1 year,Alta.,0
Under 20 years,1 year,Alta.,0
Under 20 years,1 year,Alta.,0
Under 20 years,1 year,Alta.,0
Under 20 years,1 year,Alta.,0
Under 20 years,1 year,Alta.,0
Under 20 years,1 year,B.C.,0
